id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95617.0,1892425319235,1,1892425319235,28480763064,98467.0,95475.0,-1942.540985171756,-1.99114,-41883181889.478516,-2.16528,19822912.0,19822912.0,21000000.0,108786.0,-12.22699,2025-01-20T09:11:54.494Z,67.81,140713.65585,2013-07-06T00:00:00.000Z,,2025-02-11T19:08:06.159Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2616.76,314688042697,2,314688042697,17588046593,2721.66,2610.64,-65.82066485252699,-2.45363,-8771768528.831177,-2.71186,120540713.4924573,120540713.4924573,,4878.26,-46.47788,2021-11-10T14:24:19.604Z,0.432979,602919.78343,2015-10-20T00:00:00.000Z,"{'times': 35.604213353712424, 'currency': 'btc', 'percentage': 3560.4213353712425}",2025-02-11T19:08:06.917Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999846,141859181551,3,141859181551,30506532149,1.0,0.99984,-0.000290768018837761,-0.02907,224092083.0,0.15822,141879510828.9214,141879510828.9214,,1.32,-24.43048,2018-07-24T00:00:00.000Z,0.572521,74.64105,2015-03-02T00:00:00.000Z,,2025-02-11T19:07:59.367Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.4,138416075476,4,239597119905,4369622519,2.52,2.39,-0.033022880475711336,-1.35455,-2404315758.8878174,-1.70736,57762545657.0,99986504676.0,100000000000.0,3.4,-29.48941,2018-01-07T00:00:00.000Z,0.00268621,89106.36166,2014-05-22T00:00:00.000Z,,2025-02-11T19:08:06.878Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,196.86,96052561353,5,116855785921,4490043319,205.73,196.1,-6.0639373289032505,-2.98827,-3064563726.3245087,-3.09186,488072518.8850208,593780082.2511787,,293.31,-32.95017,2025-01-19T11:15:27.957Z,0.500801,39170.10602,2020-05-11T19:35:23.449Z,,2025-02-11T19:08:09.147Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,632.04,91844987160,6,91844987160,1360608245,643.91,610.85,18.79,3.06336,2492300378.0,2.78928,145887575.79,145887575.79,200000000.0,788.84,-20.19612,2024-12-04T10:35:25.220Z,0.0398177,1580925.07486,2017-10-19T00:00:00.000Z,,2025-02-11T19:08:03.610Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999902,56324260626,7,56327060824,4338612689,1.0,0.999893,-1.557733613544e-06,-0.00016,-52404792.01793671,-0.09295,56328846309.85279,56331539901.41852,,1.17,-14.73176,2019-05-08T00:40:28.300Z,0.877647,13.93492,2023-03-11T08:02:13.981Z,,2025-02-11T19:08:04.272Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.251731,37197070225,8,37206182936,1536903072,0.26874,0.251385,-0.002828537278363574,-1.11115,-440220571.95279694,-1.16964,147968466383.7052,148004716383.7052,,0.731578,-65.63727,2021-05-08T05:08:23.458Z,8.69e-05,289174.29552,2015-05-06T00:00:00.000Z,,2025-02-11T19:08:07.228Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.759364,27151459550,9,34024125203,1623397703,0.815007,0.69973,0.054915,7.79547,1825175337.0,7.20664,35910274619.49111,45000000000.0,45000000000.0,3.09,-75.50192,2021-09-02T06:00:10.474Z,0.01925275,3827.92796,2020-03-13T02:22:55.044Z,,2025-02-11T19:08:05.675Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2614.81,24570694421,10,24570694421,79554727,2720.09,2614.07,-67.35133123844435,-2.51109,-637107628.9192276,-2.52742,9401375.968526036,9401375.968526036,,4829.57,-45.8754,2021-11-10T14:40:47.256Z,482.9,441.31424,2020-12-22T04:08:21.854Z,,2025-02-11T19:08:06.122Z
