Date,Keyword,Interest Score
2024-02-11,Bitcoin price,42
2024-02-18,Bitcoin price,29
2024-02-25,Bitcoin price,58
2024-03-03,Bitcoin price,77
2024-03-10,Bitcoin price,69
2024-03-17,Bitcoin price,55
2024-03-24,Bitcoin price,47
2024-03-31,Bitcoin price,43
2024-04-07,Bitcoin price,42
2024-04-14,Bitcoin price,48
2024-04-21,Bitcoin price,38
2024-04-28,Bitcoin price,37
2024-05-05,Bitcoin price,31
2024-05-12,Bitcoin price,31
2024-05-19,Bitcoin price,36
2024-05-26,Bitcoin price,27
2024-06-02,Bitcoin price,32
2024-06-09,Bitcoin price,28
2024-06-16,Bitcoin price,27
2024-06-23,Bitcoin price,28
2024-06-30,Bitcoin price,31
2024-07-07,Bitcoin price,30
2024-07-14,Bitcoin price,32
2024-07-21,Bitcoin price,32
2024-07-28,Bitcoin price,34
2024-08-04,Bitcoin price,52
2024-08-11,Bitcoin price,30
2024-08-18,Bitcoin price,28
2024-08-25,Bitcoin price,27
2024-09-01,Bitcoin price,25
2024-09-08,Bitcoin price,25
2024-09-15,Bitcoin price,27
2024-09-22,Bitcoin price,25
2024-09-29,Bitcoin price,24
2024-10-06,Bitcoin price,22
2024-10-13,Bitcoin price,22
2024-10-20,Bitcoin price,23
2024-10-27,Bitcoin price,31
2024-11-03,Bitcoin price,52
2024-11-10,Bitcoin price,100
2024-11-17,Bitcoin price,87
2024-11-24,Bitcoin price,72
2024-12-01,Bitcoin price,78
2024-12-08,Bitcoin price,59
2024-12-15,Bitcoin price,71
2024-12-22,Bitcoin price,54
2024-12-29,Bitcoin price,50
2025-01-05,Bitcoin price,50
2025-01-12,Bitcoin price,51
2025-01-19,Bitcoin price,64
2025-01-26,Bitcoin price,49
2025-02-02,Bitcoin price,54
2025-02-09,Bitcoin price,35
2024-02-11,isPartial,0
2024-02-18,isPartial,0
2024-02-25,isPartial,0
2024-03-03,isPartial,0
2024-03-10,isPartial,0
2024-03-17,isPartial,0
2024-03-24,isPartial,0
2024-03-31,isPartial,0
2024-04-07,isPartial,0
2024-04-14,isPartial,0
2024-04-21,isPartial,0
2024-04-28,isPartial,0
2024-05-05,isPartial,0
2024-05-12,isPartial,0
2024-05-19,isPartial,0
2024-05-26,isPartial,0
2024-06-02,isPartial,0
2024-06-09,isPartial,0
2024-06-16,isPartial,0
2024-06-23,isPartial,0
2024-06-30,isPartial,0
2024-07-07,isPartial,0
2024-07-14,isPartial,0
2024-07-21,isPartial,0
2024-07-28,isPartial,0
2024-08-04,isPartial,0
2024-08-11,isPartial,0
2024-08-18,isPartial,0
2024-08-25,isPartial,0
2024-09-01,isPartial,0
2024-09-08,isPartial,0
2024-09-15,isPartial,0
2024-09-22,isPartial,0
2024-09-29,isPartial,0
2024-10-06,isPartial,0
2024-10-13,isPartial,0
2024-10-20,isPartial,0
2024-10-27,isPartial,0
2024-11-03,isPartial,0
2024-11-10,isPartial,0
2024-11-17,isPartial,0
2024-11-24,isPartial,0
2024-12-01,isPartial,0
2024-12-08,isPartial,0
2024-12-15,isPartial,0
2024-12-22,isPartial,0
2024-12-29,isPartial,0
2025-01-05,isPartial,0
2025-01-12,isPartial,0
2025-01-19,isPartial,0
2025-01-26,isPartial,0
2025-02-02,isPartial,0
2025-02-09,isPartial,1
